Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,Arduino_Mega2560_R3_Shield,Arduino_Mega2560_R3_Shield,158.725,-78.87,0.0,top
C1,100uF,C_1210_3225Metric,134.225,-73.075,90.0,top
C10,10uF,C_1206_3216Metric,114.25,-76.975,90.0,top
C11,47uF,C_Elec_6.3x7.7,116.25,-84.0,-90.0,top
C12,100nF,C_0603_1608Metric,123.1,-77.0,90.0,top
C13,100nF,C_0603_1608Metric,121.45,-64.025,0.0,top
C14,100nF,C_0603_1608Metric,160.275,-58.25,0.0,top
C16,100nF,C_0603_1608Metric,133.4,-79.55,-90.0,top
C2,10nF,C_0402_1005Metric,130.82,-61.425,0.0,top
C20,1uF,C_0603_1608Metric,184.475,-60.475,0.0,top
C21,100nF,C_0603_1608Metric,184.475,-61.95,0.0,top
C22,10uF,C_1206_3216Metric,185.3,-58.6,0.0,top
C23,220pF,C_0402_1005Metric,185.7075,-76.8,0.0,top
C3,100nF,C_0603_1608Metric,135.375,-61.675,180.0,top
C4,100nF,C_0603_1608Metric,137.95,-59.05,-90.0,top
C5,1uF,C_0603_1608Metric,139.425,-59.05,-90.0,top
C6,1uF,C_0603_1608Metric,160.263,-56.75,0.0,top
C7,1uF,C_0603_1608Metric,130.25,-62.625,0.0,top
C8,1uF,C_0603_1608Metric,121.45,-65.5,0.0,top
C9,100nF,C_0603_1608Metric,112.25,-76.975,90.0,top
IC1,MPU-6500,QFN40P300X300X95-25N-D,133.7,-58.825,0.0,top
IC3,CD74HC4050M96,SOIC127P600X175-16N,161.5,-64.25,0.0,top
IC5,ATGM336H-5N31,ATGM336H5N31,184.8,-69.55,90.0,top
J1,TF-01A,TF01A,112.8,-65.2,-90.0,top
J2,Conn_Coaxial,U.FL_Hirose_U.FL-R-SMT-1_Vertical,181.5,-79.775,-90.0,top
L2,47nH,L_0603_1608Metric,183.3125,-77.025,0.0,top
Q1,2N7002,SOT-23,127.75,-57.8125,90.0,top
Q2,2N7002,SOT-23,124.35,-57.8125,90.0,top
R1,4.7kΩ,R_0402_1005Metric,128.44,-60.225,0.0,top
R10,4.7kΩ,R_0402_1005Metric,138.775,-61.65,-90.0,top
R14,22Ω,R_0402_1005Metric,188.1,-61.865,-90.0,top
R2,4.7kΩ,R_0402_1005Metric,129.24,-56.425,180.0,top
R3,4.7kΩ,R_0402_1005Metric,122.8725,-56.4375,0.0,top
R4,22Ω,R_0402_1005Metric,163.09,-69.98,0.0,top
R5,22Ω,R_0402_1005Metric,120.89,-61.15,180.0,top
R6,22Ω,R_0402_1005Metric,156.75,-63.75,0.0,top
R7,22Ω,R_0402_1005Metric,156.75,-66.25,0.0,top
R8,33Ω,R_0402_1005Metric,156.74,-61.25,0.0,top
R9,4.7kΩ,R_0402_1005Metric,125.04,-60.25,0.0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,128.225,-76.65,0.0,top
